actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
0.628814,-0.148214,0.245778,1.755004,2.600998,0.008994
0.628835,-0.148192,0.245800,1.754913,2.600999,0.009044
0.628830,-0.148207,0.245790,1.755023,2.600961,0.009014
0.628821,-0.148212,0.245761,1.755038,2.601014,0.009006
0.628829,-0.148208,0.245770,1.754990,2.601012,0.008968
0.628829,-0.148215,0.245764,1.755025,2.600995,0.008984
0.628821,-0.148212,0.245787,1.754989,2.601011,0.009036
0.628825,-0.148199,0.245780,1.755004,2.600998,0.008994
0.628814,-0.148215,0.245769,1.755028,2.600999,0.008958
0.628827,-0.148213,0.245760,1.755013,2.601012,0.009000
0.628820,-0.148204,0.245774,1.755001,2.601028,0.009015
0.628820,-0.148214,0.245789,1.755026,2.600996,0.008983
0.628816,-0.148217,0.245756,1.755047,2.601027,0.008901
0.628818,-0.148214,0.245776,1.755037,2.601012,0.008963
0.628815,-0.148214,0.245772,1.755037,2.601013,0.008963
0.628816,-0.148221,0.245776,1.755056,2.601007,0.008979
0.628811,-0.148212,0.245758,1.755031,2.601105,0.008934
0.628818,-0.148199,0.245746,1.755008,2.601105,0.008903
0.628818,-0.148206,0.245758,1.755006,2.601101,0.008929
0.628820,-0.148207,0.245778,1.755017,2.601051,0.008943
0.628821,-0.148213,0.245773,1.755014,2.601048,0.008969
0.628817,-0.148207,0.245784,1.755001,2.601061,0.008943
0.628816,-0.148222,0.245788,1.755032,2.601041,0.008942
0.628819,-0.148198,0.245784,1.754989,2.601077,0.008958
0.628817,-0.148222,0.245780,1.755054,2.601038,0.008932
0.628809,-0.148206,0.245762,1.755003,2.601097,0.008912
0.628807,-0.148212,0.245772,1.755072,2.601065,0.008944
0.628821,-0.148216,0.245774,1.754989,2.601074,0.008916
0.628811,-0.148213,0.245778,1.755063,2.601050,0.008939
0.628814,-0.148212,0.245746,1.755079,2.601109,0.008904
0.628810,-0.148199,0.245789,1.755017,2.601050,0.008943
0.628818,-0.148217,0.245797,1.755030,2.601002,0.008931
0.628809,-0.148220,0.245758,1.755090,2.601057,0.008918
0.628815,-0.148198,0.245778,1.755032,2.601071,0.008939
0.628825,-0.148192,0.245763,1.754966,2.601109,0.008923
0.628823,-0.148184,0.245783,1.754942,2.601076,0.008964
0.628818,-0.148200,0.245781,1.755008,2.601036,0.008938
0.628818,-0.148206,0.245776,1.755026,2.601064,0.008948
0.628822,-0.148185,0.245756,1.754958,2.601131,0.008887
0.628821,-0.148214,0.245783,1.755027,2.601032,0.008953
0.628833,-0.148206,0.245787,1.754987,2.601041,0.008989
0.628822,-0.148222,0.245796,1.755046,2.600993,0.008974
0.628830,-0.148215,0.245795,1.755040,2.600985,0.008984
0.628830,-0.148207,0.245783,1.754999,2.601025,0.008974
0.628833,-0.148214,0.245800,1.755024,2.600992,0.009009
0.628826,-0.148222,0.245782,1.754990,2.601043,0.008964
0.628818,-0.148219,0.245782,1.755024,2.601061,0.008974
0.628819,-0.148228,0.245793,1.755028,2.601002,0.008999
0.628820,-0.148214,0.245809,1.755014,2.601014,0.008974
0.628835,-0.148212,0.245820,1.754994,2.600984,0.009055
0.628829,-0.148206,0.245818,1.754996,2.600986,0.009030
0.628831,-0.148191,0.245834,1.754916,2.601003,0.009061
0.628824,-0.148208,0.245848,1.755012,2.600910,0.009039
0.628827,-0.148216,0.245826,1.754946,2.600980,0.009019
0.628818,-0.148231,0.245847,1.754986,2.600940,0.009029
0.628834,-0.148201,0.245850,1.754930,2.600955,0.009048
0.628828,-0.148207,0.245843,1.754948,2.600950,0.009065
0.628821,-0.148221,0.245857,1.754931,2.600956,0.009090
0.628822,-0.148213,0.245847,1.754979,2.600961,0.009060
0.628813,-0.148222,0.245828,1.755008,2.600971,0.009013
0.628819,-0.148207,0.245850,1.754959,2.600965,0.009045
0.628825,-0.148214,0.245834,1.755008,2.600970,0.009014
0.628827,-0.148217,0.245845,1.754963,2.600937,0.009022
0.628837,-0.148193,0.245870,1.754886,2.600959,0.009069
0.628822,-0.148193,0.245849,1.754941,2.600971,0.009029
0.628819,-0.148206,0.245813,1.755008,2.601003,0.009009
0.628822,-0.148214,0.245830,1.754976,2.600992,0.009014
0.628820,-0.148219,0.245855,1.754970,2.600950,0.009096
0.628828,-0.148209,0.245834,1.754936,2.600966,0.009013
0.628823,-0.148208,0.245829,1.754962,2.601005,0.008988
0.628823,-0.148212,0.245839,1.754972,2.600985,0.009066
0.628821,-0.148213,0.245844,1.754909,2.600995,0.009070
0.628827,-0.148207,0.245860,1.754943,2.600941,0.009074
0.628824,-0.148218,0.245831,1.754960,2.600968,0.008976
0.628822,-0.148213,0.245845,1.754967,2.600944,0.009081
0.628820,-0.148199,0.245820,1.754936,2.601032,0.009003
0.628832,-0.148211,0.245824,1.755018,2.600954,0.008956
0.628836,-0.148198,0.245835,1.754948,2.600983,0.009059
0.628836,-0.148216,0.245858,1.754965,2.600906,0.009069
0.628827,-0.148207,0.245816,1.754982,2.601000,0.009004
0.628825,-0.148206,0.245823,1.755002,2.600995,0.009019
0.628821,-0.148206,0.245825,1.755017,2.600984,0.009020
0.628832,-0.148207,0.245833,1.754972,2.600984,0.009023
0.628835,-0.148195,0.245834,1.754996,2.600987,0.009097
0.628823,-0.148203,0.245857,1.754987,2.600972,0.009092
0.628818,-0.148229,0.245828,1.755033,2.600940,0.009025
0.628825,-0.148222,0.245826,1.755058,2.600912,0.009034
0.628824,-0.148212,0.245849,1.754987,2.600939,0.009096
0.628835,-0.148190,0.245857,1.754924,2.600946,0.009126
0.628833,-0.148219,0.245856,1.754984,2.600936,0.009123
0.628854,-0.148214,0.245856,1.754949,2.600882,0.009142
0.628845,-0.148204,0.245894,1.754918,2.600871,0.009214
0.628844,-0.148215,0.245885,1.754933,2.600827,0.009175
0.628866,-0.148206,0.245905,1.754864,2.600826,0.009258
0.628854,-0.148208,0.245898,1.754896,2.600838,0.009186
0.628863,-0.148208,0.245921,1.754847,2.600835,0.009216
0.628866,-0.148221,0.245919,1.754863,2.600791,0.009288
0.628875,-0.148221,0.245933,1.754873,2.600772,0.009298
0.628878,-0.148213,0.245971,1.754787,2.600744,0.009369
0.628883,-0.148206,0.245960,1.754847,2.600765,0.009317
0.628867,-0.148212,0.245949,1.754904,2.600783,0.009294
0.628866,-0.148208,0.245945,1.754831,2.600810,0.009245
0.628873,-0.148207,0.245954,1.754848,2.600766,0.009295
0.628870,-0.148199,0.245939,1.754835,2.600815,0.009262
0.628859,-0.148219,0.245946,1.754873,2.600770,0.009188
0.628851,-0.148225,0.245955,1.754876,2.600775,0.009204
0.628867,-0.148232,0.245990,1.754886,2.600691,0.009290
0.628861,-0.148223,0.245962,1.754893,2.600766,0.009246
0.628858,-0.148230,0.245995,1.754812,2.600747,0.009307
0.628867,-0.148217,0.245976,1.754857,2.600747,0.009261
0.628858,-0.148232,0.245959,1.754915,2.600733,0.009240
0.628857,-0.148215,0.245961,1.754856,2.600780,0.009256
0.628867,-0.148224,0.245978,1.754891,2.600699,0.009281
0.628865,-0.148202,0.246014,1.754812,2.600715,0.009311
0.628865,-0.148193,0.245974,1.754815,2.600784,0.009276
0.628843,-0.148224,0.245953,1.754896,2.600770,0.009220
0.628860,-0.148198,0.245969,1.754781,2.600834,0.009297
0.628865,-0.148209,0.245989,1.754792,2.600753,0.009291
0.628857,-0.148213,0.245970,1.754898,2.600744,0.009307
0.628853,-0.148214,0.245992,1.754821,2.600763,0.009311
0.628854,-0.148216,0.245979,1.754854,2.600812,0.009208
0.628845,-0.148224,0.245980,1.754893,2.600835,0.009167
0.628828,-0.148238,0.245965,1.754933,2.600928,0.009089
0.628814,-0.148215,0.245989,1.754989,2.600941,0.009024
0.628823,-0.148216,0.245972,1.755028,2.601033,0.008925
0.628818,-0.148205,0.246126,1.754950,2.600985,0.009073
0.628821,-0.148198,0.246266,1.754942,2.600905,0.009119
0.628821,-0.148215,0.246361,1.754900,2.600877,0.009142
0.628813,-0.148222,0.246596,1.754885,2.600751,0.009252
0.628812,-0.148230,0.246698,1.754862,2.600753,0.009261
0.628820,-0.148215,0.246976,1.754813,2.600678,0.009346
