actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
0.197187,-0.409270,0.484180,1.754734,2.600521,0.008840
0.197170,-0.409273,0.484180,1.754715,2.600529,0.008858
0.197181,-0.409271,0.484169,1.754731,2.600551,0.008849
0.197171,-0.409269,0.484157,1.754708,2.600584,0.008835
0.197183,-0.409263,0.484179,1.754654,2.600572,0.008781
0.197180,-0.409248,0.484113,1.754714,2.600695,0.008871
0.197150,-0.409246,0.484070,1.754776,2.600752,0.008824
0.197153,-0.409234,0.484038,1.754804,2.600761,0.008910
0.197126,-0.409206,0.483960,1.754877,2.600869,0.008939
0.197081,-0.409176,0.483871,1.754909,2.600951,0.008933
0.197044,-0.409159,0.483782,1.754992,2.601008,0.009046
0.196995,-0.409114,0.483741,1.754936,2.600961,0.009019
0.196935,-0.409064,0.483643,1.754955,2.600990,0.009032
0.196857,-0.409023,0.483540,1.754950,2.601020,0.009060
0.196749,-0.408941,0.483438,1.755015,2.600986,0.009004
0.196667,-0.408887,0.483288,1.754954,2.601031,0.009044
0.196563,-0.408833,0.483121,1.755064,2.601000,0.008980
0.196425,-0.408775,0.482944,1.755138,2.600949,0.008980
0.196317,-0.408697,0.482806,1.755052,2.600927,0.009014
0.196190,-0.408611,0.482639,1.754996,2.600981,0.009018
0.196043,-0.408536,0.482446,1.755113,2.600957,0.009036
0.195872,-0.408452,0.482224,1.755206,2.601067,0.009050
0.195712,-0.408349,0.482043,1.755158,2.601040,0.009070
0.195530,-0.408242,0.481802,1.755192,2.601066,0.009086
0.195337,-0.408149,0.481567,1.755195,2.600979,0.009020
0.195193,-0.408047,0.481343,1.754948,2.600861,0.008971
0.194970,-0.407929,0.481098,1.754968,2.600832,0.008927
0.194580,-0.407675,0.480549,1.754963,2.600973,0.008988
0.194453,-0.407606,0.480386,1.755092,2.601001,0.009005
0.194285,-0.407482,0.480069,1.755027,2.601080,0.009017
0.194069,-0.407356,0.479737,1.755049,2.601057,0.009054
0.193864,-0.407216,0.479441,1.755061,2.600986,0.009015
0.193601,-0.407059,0.479098,1.755171,2.601086,0.009049
0.193351,-0.406899,0.478740,1.755291,2.601139,0.009091
0.193081,-0.406738,0.478396,1.755321,2.601094,0.009026
0.192810,-0.406580,0.478074,1.755219,2.600825,0.008959
