actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
0.630742,-0.149288,0.239989,1.755095,2.601185,0.008798
0.630730,-0.149304,0.240005,1.755118,2.601151,0.008791
0.630725,-0.149302,0.240006,1.755144,2.601154,0.008797
0.630727,-0.149310,0.240002,1.755101,2.601159,0.008817
0.630731,-0.149295,0.239984,1.755075,2.601224,0.008777
0.630734,-0.149320,0.239997,1.755129,2.601135,0.008776
0.630732,-0.149314,0.239989,1.755183,2.601080,0.008770
0.630737,-0.149287,0.239999,1.755069,2.601181,0.008817
0.630736,-0.149295,0.240027,1.755099,2.601122,0.008848
0.630730,-0.149301,0.240003,1.755114,2.601145,0.008843
0.630743,-0.149305,0.240023,1.755103,2.601093,0.008826
0.630727,-0.149297,0.240005,1.755109,2.601137,0.008786
0.630743,-0.149288,0.239981,1.755085,2.601204,0.008788
0.630732,-0.149308,0.239999,1.755170,2.601128,0.008848
0.630730,-0.149280,0.240006,1.755111,2.601176,0.008797
0.630739,-0.149296,0.239997,1.755102,2.601161,0.008792
0.630741,-0.149290,0.240014,1.755060,2.601133,0.008817
0.630739,-0.149286,0.240012,1.755051,2.601186,0.008844
0.630732,-0.149303,0.239998,1.755138,2.601146,0.008807
0.630735,-0.149298,0.239999,1.755121,2.601122,0.008769
0.630740,-0.149295,0.240014,1.755082,2.601133,0.008848
0.630732,-0.149287,0.240010,1.755016,2.601204,0.008827
0.630731,-0.149305,0.239997,1.755090,2.601175,0.008765
0.630745,-0.149288,0.240029,1.755031,2.601157,0.008857
0.630733,-0.149295,0.239987,1.755128,2.601165,0.008797
0.630733,-0.149305,0.239999,1.755093,2.601149,0.008785
0.630732,-0.149288,0.240011,1.755071,2.601184,0.008791
0.630738,-0.149294,0.239968,1.755085,2.601238,0.008782
0.630737,-0.149316,0.240010,1.755112,2.601142,0.008869
0.630715,-0.149320,0.239970,1.755174,2.601167,0.008725
0.630740,-0.149310,0.240019,1.755125,2.601093,0.008858
0.630740,-0.149281,0.240001,1.755091,2.601146,0.008811
0.630738,-0.149289,0.240010,1.755033,2.601195,0.008802
0.630733,-0.149296,0.240006,1.755113,2.601143,0.008801
0.630744,-0.149281,0.240017,1.755085,2.601136,0.008822
0.630735,-0.149281,0.240002,1.755097,2.601154,0.008801
0.630733,-0.149281,0.239992,1.755099,2.601189,0.008771
0.630747,-0.149295,0.239999,1.755116,2.601148,0.008817
0.630733,-0.149296,0.239997,1.755108,2.601171,0.008781
0.630718,-0.149311,0.239962,1.755184,2.601180,0.008731
0.630748,-0.149284,0.240012,1.755041,2.601138,0.008800
0.630738,-0.149305,0.240024,1.755075,2.601123,0.008816
0.630735,-0.149303,0.240001,1.755127,2.601129,0.008827
0.630725,-0.149311,0.240008,1.755128,2.601132,0.008801
0.630743,-0.149302,0.240004,1.755092,2.601147,0.008854
0.630724,-0.149304,0.239987,1.755135,2.601176,0.008761
0.630724,-0.149289,0.239962,1.755086,2.601238,0.008715
0.630731,-0.149295,0.240002,1.755116,2.601148,0.008817
0.630728,-0.149295,0.240006,1.755125,2.601129,0.008828
0.630738,-0.149296,0.240004,1.755096,2.601153,0.008802
0.630734,-0.149294,0.239998,1.755140,2.601152,0.008823
0.630745,-0.149286,0.240029,1.755096,2.601120,0.008873
0.630735,-0.149296,0.239991,1.755045,2.601213,0.008781
0.630740,-0.149293,0.239998,1.755123,2.601158,0.008849
0.630733,-0.149295,0.239997,1.755143,2.601155,0.008797
0.630729,-0.149286,0.240013,1.755060,2.601168,0.008854
0.630729,-0.149310,0.239997,1.755159,2.601144,0.008796
0.630733,-0.149291,0.239997,1.755138,2.601181,0.008844
0.630737,-0.149318,0.239993,1.755158,2.601143,0.008797
0.630739,-0.149290,0.239993,1.755061,2.601170,0.008786
0.630742,-0.149295,0.240009,1.755094,2.601150,0.008828
0.630739,-0.149305,0.240008,1.755109,2.601137,0.008786
0.630736,-0.149313,0.240005,1.755164,2.601087,0.008796
0.630734,-0.149296,0.240007,1.755060,2.601167,0.008811
0.630732,-0.149287,0.240010,1.755079,2.601161,0.008827
0.630738,-0.149293,0.240020,1.755136,2.601113,0.008879
0.630740,-0.149318,0.240013,1.755155,2.601072,0.008858
0.630723,-0.149310,0.239996,1.755159,2.601143,0.008798
0.630729,-0.149297,0.240008,1.755077,2.601159,0.008786
0.630739,-0.149280,0.239991,1.755064,2.601208,0.008797
0.630735,-0.149303,0.239984,1.755097,2.601186,0.008797
0.630721,-0.149317,0.239987,1.755186,2.601149,0.008777
0.630730,-0.149296,0.239992,1.755097,2.601190,0.008771
0.630741,-0.149294,0.239990,1.755109,2.601172,0.008824
0.630722,-0.149309,0.239995,1.755183,2.601147,0.008803
0.630737,-0.149302,0.239986,1.755109,2.601173,0.008823
0.630737,-0.149289,0.239982,1.755057,2.601230,0.008761
0.630730,-0.149304,0.240005,1.755118,2.601151,0.008791
0.630741,-0.149310,0.240030,1.755103,2.601096,0.008867
0.630728,-0.149305,0.239992,1.755126,2.601163,0.008755
0.630735,-0.149295,0.240016,1.755114,2.601113,0.008847
0.630732,-0.149301,0.239998,1.755109,2.601173,0.008823
0.630734,-0.149295,0.240007,1.755095,2.601151,0.008827
0.630729,-0.149291,0.240008,1.755110,2.601175,0.008865
0.630743,-0.149288,0.239999,1.755047,2.601181,0.008828
0.630727,-0.149305,0.240000,1.755120,2.601154,0.008765
0.630727,-0.149289,0.239995,1.755094,2.601184,0.008756
0.630734,-0.149297,0.240007,1.755071,2.601151,0.008795
0.630730,-0.149313,0.239996,1.755155,2.601106,0.008786
0.630738,-0.149312,0.240009,1.755168,2.601092,0.008812
0.630734,-0.149287,0.240013,1.755110,2.601140,0.008827
0.630730,-0.149296,0.240010,1.755122,2.601125,0.008811
0.630728,-0.149291,0.239997,1.755096,2.601187,0.008729
0.630731,-0.149294,0.240002,1.755104,2.601164,0.008833
0.630743,-0.149288,0.240000,1.755074,2.601188,0.008807
0.630733,-0.149295,0.239997,1.755143,2.601155,0.008797
0.630735,-0.149292,0.240007,1.755118,2.601151,0.008858
0.630715,-0.149303,0.239972,1.755130,2.601204,0.008741
0.630723,-0.149301,0.239986,1.755164,2.601184,0.008783
