actual_TCP_force_0,actual_TCP_force_1,actual_TCP_force_2,actual_TCP_force_3,actual_TCP_force_4,actual_TCP_force_5
-14.806393,1.929823,-5.869816,0.224896,1.229801,0.140330
-14.365179,1.459771,-6.096873,0.233907,1.244056,0.115011
-14.791296,1.369190,-6.304454,0.218881,1.233217,0.088027
-14.345602,0.905615,-6.018844,0.217008,1.199548,0.069587
-14.709326,1.026522,-5.678778,0.211323,1.169026,0.058291
-15.017147,0.713505,-5.416687,0.210545,1.157920,0.058227
-14.081592,0.791260,-5.363476,0.200719,1.110292,0.038144
-13.845692,0.811924,-5.422087,0.207005,1.093420,0.015870
-13.443377,0.608972,-4.972999,0.216798,1.063270,-0.009720
-13.247329,1.007044,-4.827837,0.223170,1.038218,-0.052271
-12.904557,0.571750,-4.723094,0.192139,0.989469,-0.084745
-12.323058,-0.019774,-4.859870,0.176498,0.981070,-0.123663
-11.777335,0.386154,-4.409463,0.189175,0.933733,-0.156114
-10.336178,0.765725,-3.980270,0.195608,0.875975,-0.192733
-10.504908,0.575843,-4.704407,0.177620,0.871934,-0.218836
-9.029449,0.102937,-3.665805,0.149382,0.795605,-0.242919
-9.377563,-0.692601,-3.732978,0.117083,0.773508,-0.243405
-8.961823,-0.556020,-3.488834,0.100363,0.756050,-0.240430
-7.957929,-0.636512,-3.623281,0.088291,0.704649,-0.230171
-5.181589,-0.094077,-3.243514,0.108617,0.618791,-0.217334
-5.123263,0.512792,-2.932790,0.117623,0.573206,-0.202453
-4.144241,0.362671,-2.564488,0.105499,0.549670,-0.208453
-4.096599,-0.090064,-2.748466,0.083188,0.537494,-0.215765
-4.000764,-0.437063,-2.593405,0.061189,0.505686,-0.215150
-3.159471,-0.192256,-2.098612,0.062362,0.471756,-0.206489
-3.011266,0.135602,-2.095602,0.069550,0.449377,-0.201119
-2.522260,0.275059,-2.160488,0.086397,0.431396,-0.186307
-2.545225,0.719609,-2.332197,0.097865,0.445073,-0.182908
-2.942644,0.792111,-2.198914,0.095562,0.446965,-0.167075
-2.306308,0.597151,-2.506872,0.096462,0.447865,-0.169551
-2.152004,0.413918,-2.095115,0.093995,0.442498,-0.168450
-1.861764,0.338094,-1.857765,0.104839,0.406567,-0.144395
-0.973662,0.334678,-1.505257,0.107300,0.382986,-0.121786
-0.160512,0.662730,-1.434468,0.113270,0.337081,-0.092413
2.019762,0.474591,0.128864,0.097911,0.248732,-0.056929
0.760141,0.250471,-1.397974,0.086984,0.277188,-0.042118
2.063566,0.186058,-0.751957,0.063994,0.202910,-0.037565
1.630309,-0.101833,-0.571614,0.041470,0.200677,-0.035524
1.749431,-0.186319,-0.521223,0.034068,0.176385,-0.029532
1.646111,-0.891218,-0.372486,0.020936,0.196574,-0.030092
1.466221,-0.850819,-0.121283,0.019198,0.192182,-0.019266
0.672669,-0.273864,-0.471302,0.025842,0.229825,-0.012967
0.431205,-0.092464,-0.296600,0.025627,0.209136,-0.005665
-0.165480,0.127178,-0.191971,0.027978,0.242463,-0.007230
0.026416,-0.311260,-0.070767,0.027144,0.251454,-0.009618
-0.523967,-1.015491,-0.310358,0.028665,0.276409,-0.013467
-1.081649,-0.963600,-0.735291,0.026797,0.296888,-0.006601
-1.582554,-1.180294,-0.953205,0.027093,0.333164,-0.006033
-3.586011,-0.858392,-1.271451,0.016340,0.397923,0.005321
-4.864975,-0.725680,-1.281670,0.018441,0.444477,0.020691
-5.814524,-0.719551,-1.125918,0.015654,0.489917,0.033009
-6.352040,-0.991455,-1.107062,0.012044,0.498715,0.051149
-5.496813,-1.220343,-1.108554,0.017839,0.514505,0.057872
-6.293337,-0.404876,-0.914056,0.025753,0.499817,0.076685
-6.156891,-0.382077,-0.756570,0.037308,0.495150,0.085637
-6.813843,-0.284051,-0.619846,0.036625,0.506022,0.101899
-7.447015,-0.331401,-0.340616,0.044163,0.544197,0.119504
-8.605114,-0.326043,-0.257555,0.040518,0.569154,0.142554
-8.748861,-0.513793,-0.101362,0.040736,0.620187,0.155169
-8.809961,-0.380052,-0.175099,0.041036,0.615895,0.160536
-7.605372,0.039448,0.136061,0.049178,0.588169,0.158527
-6.225953,0.654151,0.381675,0.073066,0.524490,0.149522
-4.156646,0.567425,0.775692,0.096373,0.456578,0.123771
-4.503318,1.625374,0.877961,0.090897,0.453694,0.116811
