actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
0.582697,-0.057300,0.274765,-0.019486,3.109963,-0.020594
0.582710,-0.057282,0.274801,-0.019522,3.109882,-0.020539
0.582703,-0.057289,0.274773,-0.019486,3.109957,-0.020536
0.582708,-0.057292,0.274746,-0.019468,3.109999,-0.020600
0.582717,-0.057284,0.274792,-0.019503,3.109892,-0.020578
0.582714,-0.057282,0.274761,-0.019487,3.109952,-0.020571
0.582722,-0.057220,0.274783,-0.019731,3.109926,-0.020584
0.582717,-0.057213,0.274774,-0.019748,3.109938,-0.020567
0.582727,-0.057207,0.274770,-0.019727,3.109935,-0.020603
0.582721,-0.057198,0.274796,-0.019783,3.109905,-0.020541
0.582717,-0.057214,0.274783,-0.019690,3.109938,-0.020567
0.582729,-0.057195,0.274778,-0.019763,3.109910,-0.020616
0.582721,-0.057215,0.274779,-0.019726,3.109923,-0.020601
0.582718,-0.057216,0.274792,-0.019726,3.109899,-0.020597
0.582717,-0.057200,0.274762,-0.019746,3.109951,-0.020569
0.582716,-0.057191,0.274779,-0.019728,3.109941,-0.020529
0.582720,-0.057214,0.274787,-0.019726,3.109901,-0.020578
0.582722,-0.057206,0.274789,-0.019727,3.109915,-0.020562
0.582718,-0.057205,0.274766,-0.019709,3.109963,-0.020553
0.582722,-0.057225,0.274756,-0.019653,3.109952,-0.020551
0.582716,-0.057215,0.274800,-0.019726,3.109889,-0.020576
0.582719,-0.057202,0.274801,-0.019744,3.109875,-0.020591
0.582708,-0.057215,0.274779,-0.019690,3.109951,-0.020569
0.582722,-0.057214,0.274791,-0.019652,3.109902,-0.020577
0.582726,-0.057216,0.274778,-0.019707,3.109910,-0.020617
0.582712,-0.057233,0.274797,-0.019652,3.109918,-0.020526
0.582711,-0.057216,0.274772,-0.019746,3.109925,-0.020583
0.582712,-0.057227,0.274777,-0.019652,3.109918,-0.020544
