actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
0.582942,-0.052630,0.246329,-0.019657,3.110950,-0.019660
0.582946,-0.052645,0.246328,-0.019581,3.110948,-0.019678
0.582946,-0.052623,0.246351,-0.019656,3.110926,-0.019654
0.582950,-0.052649,0.246351,-0.019600,3.110903,-0.019650
0.582948,-0.052620,0.246330,-0.019676,3.110964,-0.019626
0.582951,-0.052617,0.246341,-0.019713,3.110921,-0.019579
0.582951,-0.052638,0.246360,-0.019618,3.110875,-0.019569
0.582947,-0.052628,0.246353,-0.019618,3.110904,-0.019631
0.582948,-0.052641,0.246347,-0.019619,3.110906,-0.019613
0.582954,-0.052635,0.246354,-0.019637,3.110879,-0.019645
0.582941,-0.052643,0.246339,-0.019600,3.110951,-0.019642
0.582943,-0.052629,0.246332,-0.019676,3.110962,-0.019644
0.582937,-0.052648,0.246334,-0.019564,3.110956,-0.019605
0.582926,-0.052637,0.246325,-0.019640,3.110988,-0.019631
0.582931,-0.052623,0.246330,-0.019676,3.110974,-0.019646
0.582937,-0.052644,0.246324,-0.019600,3.110964,-0.019644
0.582932,-0.052636,0.246342,-0.019620,3.110954,-0.019623
0.582957,-0.052639,0.246368,-0.019618,3.110870,-0.019606
0.582953,-0.052638,0.246328,-0.019619,3.110959,-0.019699
0.582944,-0.052619,0.246340,-0.019638,3.110942,-0.019601
0.582945,-0.052641,0.246336,-0.019563,3.110929,-0.019617
0.582939,-0.052634,0.246320,-0.019621,3.110991,-0.019613
0.582945,-0.052619,0.246349,-0.019619,3.110907,-0.019593
0.582949,-0.052634,0.246339,-0.019638,3.110929,-0.019618
0.582935,-0.052635,0.246337,-0.019619,3.110942,-0.019621
0.582947,-0.052632,0.246337,-0.019638,3.110919,-0.019597
0.582951,-0.052625,0.246325,-0.019620,3.110955,-0.019604
0.582942,-0.052627,0.246347,-0.019694,3.110929,-0.019619
0.582938,-0.052646,0.246336,-0.019621,3.110946,-0.019585
0.582938,-0.052627,0.246332,-0.019620,3.110943,-0.019602
0.582947,-0.052628,0.246353,-0.019656,3.110904,-0.019631
0.582948,-0.052656,0.246333,-0.019582,3.110940,-0.019640
0.582949,-0.052643,0.246333,-0.019600,3.110938,-0.019657
0.582946,-0.052641,0.246345,-0.019581,3.110930,-0.019618
0.582942,-0.052633,0.246322,-0.019639,3.110968,-0.019608
0.582943,-0.052611,0.246345,-0.019656,3.110910,-0.019575
0.582944,-0.052627,0.246348,-0.019657,3.110917,-0.019615
0.582936,-0.052649,0.246341,-0.019582,3.110943,-0.019621
0.582940,-0.052645,0.246355,-0.019564,3.110911,-0.019558
0.582931,-0.052648,0.246335,-0.019602,3.110967,-0.019608
0.582948,-0.052629,0.246321,-0.019657,3.110961,-0.019662
0.582941,-0.052638,0.246332,-0.019601,3.110970,-0.019571
0.582951,-0.052638,0.246344,-0.019563,3.110922,-0.019578
0.582941,-0.052643,0.246339,-0.019600,3.110951,-0.019642
0.582949,-0.052639,0.246350,-0.019619,3.110920,-0.019598
0.582943,-0.052644,0.246348,-0.019618,3.110914,-0.019653
0.582948,-0.052640,0.246347,-0.019581,3.110908,-0.019594
0.582939,-0.052643,0.246318,-0.019582,3.110964,-0.019644
0.582951,-0.052634,0.246343,-0.019638,3.110928,-0.019637
0.582950,-0.052622,0.246339,-0.019637,3.110926,-0.019654
0.582933,-0.052636,0.246327,-0.019602,3.110989,-0.019631
0.582936,-0.052635,0.246323,-0.019564,3.110977,-0.019628
0.582954,-0.052639,0.246347,-0.019599,3.110897,-0.019592
0.582944,-0.052635,0.246325,-0.019620,3.110974,-0.019647
0.582941,-0.052651,0.246339,-0.019563,3.110950,-0.019660
0.582950,-0.052646,0.246351,-0.019601,3.110908,-0.019595
0.582948,-0.052641,0.246331,-0.019600,3.110953,-0.019623
0.582935,-0.052634,0.246328,-0.019658,3.110943,-0.019603
0.582940,-0.052643,0.246329,-0.019600,3.110952,-0.019642
0.582943,-0.052638,0.246341,-0.019620,3.110934,-0.019563
0.582932,-0.052642,0.246334,-0.019620,3.110943,-0.019603
0.582941,-0.052637,0.246329,-0.019675,3.110950,-0.019661
0.582947,-0.052642,0.246346,-0.019599,3.110916,-0.019634
0.582943,-0.052654,0.246334,-0.019526,3.110943,-0.019602
0.582942,-0.052639,0.246342,-0.019639,3.110970,-0.019590
0.582949,-0.052620,0.246397,-0.019714,3.111000,-0.019635
0.582969,-0.052632,0.246535,-0.019619,3.110975,-0.019651
0.582974,-0.052619,0.246807,-0.019618,3.110884,-0.019540
0.583001,-0.052606,0.247223,-0.019762,3.110707,-0.019585
0.583021,-0.052617,0.247805,-0.019649,3.110662,-0.019566
0.583023,-0.052625,0.248520,-0.019590,3.110637,-0.019592
0.583034,-0.052631,0.249336,-0.019642,3.110519,-0.019564
0.583017,-0.052632,0.250110,-0.019532,3.110685,-0.019576
0.583032,-0.052620,0.250931,-0.019584,3.110606,-0.019629
0.583003,-0.052626,0.251669,-0.019587,3.110784,-0.019589
0.582981,-0.052623,0.252435,-0.019663,3.110962,-0.019644
0.582964,-0.052640,0.253223,-0.019623,3.110950,-0.019657
0.582961,-0.052629,0.254023,-0.019603,3.110961,-0.019693
0.582973,-0.052640,0.254838,-0.019599,3.110857,-0.019646
0.582953,-0.052637,0.255615,-0.019599,3.110970,-0.019705
0.582958,-0.052623,0.256382,-0.019655,3.111026,-0.019712
0.582973,-0.052638,0.256784,-0.019634,3.111012,-0.019660
0.582964,-0.052627,0.257605,-0.019633,3.110958,-0.019569
0.582958,-0.052629,0.258451,-0.019592,3.110882,-0.019568
0.582954,-0.052654,0.259243,-0.019533,3.110909,-0.019628
0.582957,-0.052633,0.260015,-0.019569,3.110895,-0.019619
0.582964,-0.052629,0.260814,-0.019625,3.110992,-0.019600
0.582967,-0.052639,0.261621,-0.019526,3.110894,-0.019629
0.582969,-0.052631,0.262471,-0.019541,3.110769,-0.019597
0.582956,-0.052647,0.263290,-0.019576,3.110758,-0.019593
0.582939,-0.052640,0.264068,-0.019556,3.110845,-0.019570
0.582921,-0.052644,0.264821,-0.019649,3.110980,-0.019727
0.582929,-0.052639,0.265589,-0.019611,3.111017,-0.019674
0.582943,-0.052634,0.266399,-0.019572,3.111080,-0.019646
0.582936,-0.052635,0.267212,-0.019624,3.110955,-0.019615
0.582923,-0.052642,0.268050,-0.019563,3.110860,-0.019571
0.582926,-0.052636,0.268836,-0.019580,3.110882,-0.019590
0.582913,-0.052646,0.269620,-0.019559,3.110939,-0.019618
0.582926,-0.052643,0.270403,-0.019595,3.110991,-0.019607
0.582947,-0.052642,0.271221,-0.019514,3.110861,-0.019610
0.582940,-0.052642,0.272028,-0.019551,3.110964,-0.019610
0.582935,-0.052637,0.272443,-0.019623,3.110853,-0.019613
0.582914,-0.052640,0.273228,-0.019566,3.110932,-0.019624
0.582905,-0.052633,0.274036,-0.019600,3.110877,-0.019589
0.582929,-0.052637,0.274845,-0.019597,3.110917,-0.019614
0.582939,-0.052642,0.275643,-0.019574,3.110849,-0.019576
0.582962,-0.052636,0.276449,-0.019607,3.110835,-0.019643
0.582948,-0.052630,0.277254,-0.019588,3.110930,-0.019641
0.582924,-0.052645,0.278020,-0.019548,3.110968,-0.019608
0.582938,-0.052631,0.278837,-0.019656,3.110943,-0.019637
0.582943,-0.052629,0.279633,-0.019671,3.110894,-0.019602
0.582947,-0.052631,0.280427,-0.019631,3.110956,-0.019648
0.582955,-0.052665,0.281221,-0.019497,3.110919,-0.019654
0.582948,-0.052642,0.281978,-0.019672,3.110986,-0.019608
0.582949,-0.052625,0.282776,-0.019830,3.111061,-0.019586
0.582932,-0.052656,0.283607,-0.019712,3.110946,-0.019576
0.582948,-0.052625,0.284436,-0.019764,3.110899,-0.019540
0.582946,-0.052659,0.285208,-0.019704,3.110937,-0.019640
0.582956,-0.052645,0.285983,-0.019738,3.111011,-0.019670
0.582964,-0.052643,0.286765,-0.019698,3.111025,-0.019649
0.582945,-0.052637,0.287577,-0.019731,3.110969,-0.019612
0.582920,-0.052655,0.288340,-0.019620,3.111168,-0.019670
0.582919,-0.052649,0.289166,-0.019554,3.111067,-0.019642
0.582933,-0.052632,0.289572,-0.019627,3.111053,-0.019627
0.582951,-0.052647,0.290390,-0.019531,3.110958,-0.019657
0.582945,-0.052639,0.291187,-0.019567,3.111042,-0.019634
0.582931,-0.052657,0.291977,-0.019507,3.111004,-0.019658
0.582931,-0.052644,0.292749,-0.019579,3.111092,-0.019692
0.582948,-0.052662,0.293568,-0.019498,3.110963,-0.019659
0.582958,-0.052630,0.294437,-0.019549,3.110881,-0.019579
0.582967,-0.052631,0.295266,-0.019544,3.110788,-0.019591
0.582936,-0.052656,0.296043,-0.019540,3.110809,-0.019593
0.582924,-0.052656,0.296774,-0.019505,3.111122,-0.019637
0.582926,-0.052646,0.297565,-0.019592,3.111047,-0.019673
0.582947,-0.052643,0.298383,-0.019644,3.111004,-0.019660
0.582963,-0.052637,0.299220,-0.019676,3.110890,-0.019573
0.582959,-0.052646,0.300043,-0.019651,3.110858,-0.019580
0.582939,-0.052644,0.300856,-0.019629,3.110889,-0.019619
0.582944,-0.052649,0.301671,-0.019622,3.110781,-0.019572
0.582949,-0.052628,0.302453,-0.019695,3.110931,-0.019600
0.582945,-0.052639,0.303242,-0.019616,3.110920,-0.019648
0.582959,-0.052650,0.304033,-0.019592,3.110948,-0.019632
0.582961,-0.052633,0.304828,-0.019645,3.110931,-0.019584
0.582907,-0.052669,0.305611,-0.019568,3.111044,-0.019625
0.582930,-0.052640,0.306025,-0.019582,3.110948,-0.019627
0.582931,-0.052646,0.306855,-0.019613,3.110848,-0.019583
0.582926,-0.052639,0.307625,-0.019630,3.110960,-0.019583
0.582941,-0.052646,0.308440,-0.019606,3.110934,-0.019610
0.582941,-0.052644,0.309182,-0.019585,3.111030,-0.019588
0.582932,-0.052648,0.309975,-0.019579,3.110978,-0.019627
0.582916,-0.052643,0.310765,-0.019615,3.111153,-0.019644
0.582941,-0.052621,0.311586,-0.019625,3.110992,-0.019638
0.582946,-0.052632,0.312466,-0.019580,3.110790,-0.019551
0.582942,-0.052641,0.313266,-0.019575,3.110806,-0.019568
0.582921,-0.052648,0.314054,-0.019572,3.110881,-0.019544
0.582932,-0.052642,0.314794,-0.019551,3.111013,-0.019603
0.582943,-0.052657,0.315591,-0.019544,3.110992,-0.019632
0.582950,-0.052648,0.316420,-0.019578,3.111024,-0.019616
0.582957,-0.052647,0.317243,-0.019588,3.110857,-0.019573
0.582937,-0.052655,0.318036,-0.019547,3.110925,-0.019658
0.582934,-0.052645,0.318869,-0.019597,3.110885,-0.019588
0.582950,-0.052639,0.319683,-0.019553,3.110799,-0.019620
0.582969,-0.052643,0.320539,-0.019582,3.110668,-0.019568
0.582963,-0.052657,0.321316,-0.019521,3.110687,-0.019566
0.582949,-0.052643,0.322057,-0.019577,3.110906,-0.019571
0.582955,-0.052652,0.322460,-0.019573,3.110847,-0.019602
0.582963,-0.052636,0.323225,-0.019550,3.110909,-0.019590
0.582963,-0.052639,0.324059,-0.019542,3.110781,-0.019594
0.582940,-0.052647,0.324860,-0.019558,3.110881,-0.019574
0.582936,-0.052658,0.325680,-0.019531,3.110783,-0.019604
0.582931,-0.052643,0.326448,-0.019565,3.110884,-0.019582
0.582939,-0.052649,0.327245,-0.019560,3.110908,-0.019583
0.582929,-0.052657,0.328020,-0.019537,3.110951,-0.019586
0.582957,-0.052648,0.328826,-0.019549,3.110938,-0.019596
0.582937,-0.052651,0.329593,-0.019583,3.110959,-0.019595
0.582932,-0.052647,0.330395,-0.019540,3.111057,-0.019648
0.582935,-0.052649,0.331179,-0.019553,3.111039,-0.019677
0.582936,-0.052648,0.331983,-0.019621,3.110960,-0.019635
0.582942,-0.052647,0.332859,-0.019558,3.110895,-0.019615
0.582924,-0.052670,0.333627,-0.019478,3.110931,-0.019599
0.582927,-0.052667,0.334390,-0.019549,3.111049,-0.019695
0.582946,-0.052658,0.335157,-0.019505,3.111067,-0.019691
0.582946,-0.052647,0.335990,-0.019556,3.111062,-0.019610
0.582952,-0.052655,0.336770,-0.019568,3.111032,-0.019635
0.582939,-0.052662,0.337541,-0.019544,3.111077,-0.019715
0.582939,-0.052651,0.338330,-0.019541,3.111182,-0.019655
0.582944,-0.052643,0.339209,-0.019548,3.110927,-0.019593
0.582960,-0.052645,0.339620,-0.019563,3.110911,-0.019653
0.582943,-0.052636,0.340436,-0.019668,3.110850,-0.019559
0.582938,-0.052641,0.341232,-0.019571,3.110988,-0.019639
0.582962,-0.052645,0.342021,-0.019545,3.110904,-0.019615
0.582976,-0.052640,0.342784,-0.019633,3.110981,-0.019571
0.582977,-0.052646,0.343600,-0.019569,3.110947,-0.019651
0.582972,-0.052637,0.344403,-0.019600,3.110920,-0.019600
0.582954,-0.052643,0.345224,-0.019631,3.110932,-0.019636
0.582958,-0.052660,0.346020,-0.019588,3.110873,-0.019578
0.582936,-0.052650,0.346836,-0.019545,3.110972,-0.019594
0.582946,-0.052653,0.347650,-0.019554,3.110827,-0.019613
0.582937,-0.052633,0.348420,-0.019624,3.110913,-0.019623
0.582943,-0.052652,0.349193,-0.019525,3.110950,-0.019606
0.582936,-0.052659,0.349989,-0.019556,3.110985,-0.019686
