actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
0.472667,-0.155639,0.203629,2.313135,-2.111101,0.006898
0.472671,-0.155629,0.203623,2.313110,-2.111103,0.006895
0.472659,-0.155605,0.203611,2.313179,-2.111039,0.006763
0.472646,-0.155596,0.203588,2.313114,-2.111004,0.006686
0.472667,-0.155607,0.203626,2.313185,-2.111018,0.006776
0.472647,-0.155617,0.203588,2.313086,-2.111003,0.006737
0.472639,-0.155620,0.203570,2.313034,-2.111031,0.006642
0.472669,-0.155616,0.203616,2.313094,-2.111011,0.006847
0.472664,-0.155636,0.203623,2.313047,-2.111044,0.006912
0.472674,-0.155629,0.203623,2.313058,-2.111004,0.006962
0.472674,-0.155633,0.203644,2.313111,-2.111028,0.007036
0.472653,-0.155643,0.203619,2.313022,-2.111047,0.006907
0.472651,-0.155617,0.203614,2.313180,-2.111010,0.006740
0.472666,-0.155591,0.203618,2.313299,-2.111073,0.006616
0.472670,-0.155596,0.203641,2.313337,-2.111032,0.006739
0.472681,-0.155606,0.203654,2.313283,-2.111084,0.006818
0.472677,-0.155617,0.203648,2.313276,-2.111103,0.006833
0.472689,-0.155608,0.203657,2.313302,-2.111153,0.006815
0.472718,-0.155618,0.203703,2.313348,-2.111247,0.006939
0.472755,-0.155630,0.203758,2.313384,-2.111359,0.007101
0.472808,-0.155605,0.203817,2.313536,-2.111372,0.007211
0.472887,-0.155599,0.203885,2.313655,-2.111509,0.007317
0.472959,-0.155591,0.203959,2.313848,-2.111638,0.007480
0.473044,-0.155571,0.204049,2.314094,-2.111792,0.007550
0.473101,-0.155579,0.204125,2.314167,-2.112039,0.007673
0.473130,-0.155586,0.204158,2.314202,-2.112123,0.007685
0.473169,-0.155566,0.204236,2.314420,-2.112249,0.007761
0.473168,-0.155537,0.204378,2.314701,-2.112560,0.007832
0.473198,-0.155509,0.204596,2.315199,-2.113202,0.007917
0.473297,-0.155374,0.205007,2.316462,-2.114345,0.007539
0.473453,-0.155255,0.205603,2.318010,-2.115980,0.007399
0.473682,-0.155079,0.206407,2.319865,-2.117731,0.007818
0.473964,-0.154968,0.207500,-2.318458,2.116606,-0.009217
0.474379,-0.154881,0.209025,-2.316132,2.114534,-0.012179
0.474929,-0.154716,0.211002,-2.312862,2.111585,-0.015473
0.475575,-0.154544,0.213342,-2.309238,2.108237,-0.019755
0.476318,-0.154324,0.216111,-2.304914,2.104239,-0.024635
0.477094,-0.154096,0.219234,-2.299835,2.099674,-0.029873
0.477866,-0.153789,0.222655,-2.294346,2.094513,-0.035296
0.478633,-0.153433,0.226372,-2.288222,2.088778,-0.040393
0.479329,-0.152969,0.230261,-2.281610,2.082448,-0.044755
0.479944,-0.152430,0.234299,-2.274345,2.075442,-0.048408
0.480395,-0.151820,0.238419,-2.266673,2.067952,-0.051412
0.480654,-0.151172,0.242581,-2.259191,2.060599,-0.053160
0.480610,-0.150548,0.246636,-2.252669,2.054132,-0.052837
0.480239,-0.150013,0.250472,-2.247333,2.049093,-0.051001
0.479559,-0.149627,0.254223,-2.243982,2.045844,-0.048477
0.478568,-0.149414,0.257792,-2.242731,2.044861,-0.045537
0.477325,-0.149348,0.261278,-2.243817,2.045904,-0.042734
0.475891,-0.149389,0.264761,-2.246065,2.048412,-0.039165
0.474247,-0.149420,0.268233,-2.249074,2.051530,-0.034010
0.472526,-0.149418,0.271817,-2.251918,2.054706,-0.027957
0.470778,-0.149413,0.275652,-2.254716,2.057649,-0.022071
0.469077,-0.149499,0.279794,-2.257969,2.060969,-0.018167
0.467459,-0.149680,0.284313,-2.261010,2.064100,-0.016359
0.465869,-0.149905,0.289095,-2.263836,2.067202,-0.015615
0.464358,-0.150112,0.294120,-2.266668,2.069952,-0.015986
0.462789,-0.150369,0.299361,-2.269140,2.072532,-0.017088
0.461292,-0.150592,0.304879,-2.271298,2.074603,-0.019045
0.459775,-0.150813,0.310513,-2.272996,2.076525,-0.020953
0.458245,-0.150952,0.316371,-2.274320,2.077889,-0.022645
0.455963,-0.151143,0.325362,-2.276095,2.079783,-0.024927
0.454368,-0.151182,0.331487,-2.276839,2.080575,-0.025794
0.452763,-0.151182,0.337661,-2.277256,2.081093,-0.026353
0.451126,-0.151140,0.343963,-2.277150,2.081255,-0.026294
0.449537,-0.151115,0.350376,-2.277068,2.081469,-0.026494
0.447902,-0.151096,0.356899,-2.276953,2.081556,-0.026810
0.446246,-0.151128,0.363524,-2.276543,2.081691,-0.027296
0.444571,-0.151150,0.370188,-2.276151,2.081870,-0.027785
0.442870,-0.151170,0.376873,-2.275820,2.082062,-0.028286
0.441112,-0.151228,0.383595,-2.275399,2.082380,-0.028701
0.439333,-0.151323,0.390265,-2.274997,2.082834,-0.028925
0.437509,-0.151493,0.396909,-2.274420,2.083641,-0.028759
0.435572,-0.151791,0.403520,-2.273691,2.084848,-0.028519
0.433592,-0.152163,0.410044,-2.272759,2.086350,-0.028191
0.431560,-0.152692,0.416522,-2.271607,2.088329,-0.027529
0.429476,-0.153354,0.422842,-2.270257,2.090774,-0.026506
0.427352,-0.154141,0.428973,-2.268739,2.093829,-0.024925
