actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
0.576051,0.111686,0.172749,2.348343,-2.024789,0.083544
0.576053,0.111703,0.172741,2.348323,-2.024822,0.083528
0.576042,0.111689,0.172754,2.348356,-2.024776,0.083545
0.576040,0.111687,0.172738,2.348310,-2.024756,0.083530
0.576063,0.111721,0.172769,2.348455,-2.024741,0.083584
0.576061,0.111682,0.172766,2.348339,-2.024836,0.083585
0.576046,0.111671,0.172741,2.348319,-2.024817,0.083502
0.576054,0.111694,0.172740,2.348344,-2.024764,0.083552
0.576055,0.111694,0.172741,2.348339,-2.024785,0.083560
0.576052,0.111701,0.172754,2.348375,-2.024769,0.083552
0.576052,0.111684,0.172749,2.348324,-2.024796,0.083578
0.576066,0.111702,0.172769,2.348373,-2.024845,0.083568
0.576047,0.111693,0.172732,2.348320,-2.024793,0.083512
0.576068,0.111696,0.172790,2.348408,-2.024826,0.083557
0.576053,0.111706,0.172756,2.348367,-2.024837,0.083519
0.576062,0.111697,0.172769,2.348387,-2.024831,0.083609
0.576058,0.111704,0.172760,2.348391,-2.024784,0.083569
0.576062,0.111674,0.172751,2.348315,-2.024813,0.083560
0.576064,0.111694,0.172757,2.348362,-2.024833,0.083534
0.576061,0.111697,0.172761,2.348395,-2.024788,0.083593
0.576051,0.111693,0.172757,2.348347,-2.024819,0.083560
0.576065,0.111684,0.172784,2.348421,-2.024838,0.083631
0.576059,0.111698,0.172753,2.348387,-2.024780,0.083543
0.576056,0.111698,0.172757,2.348372,-2.024790,0.083519
0.576062,0.111707,0.172786,2.348409,-2.024854,0.083592
0.576063,0.111700,0.172764,2.348378,-2.024823,0.083560
0.576059,0.111707,0.172782,2.348426,-2.024843,0.083576
0.576064,0.111703,0.172787,2.348437,-2.024853,0.083566
0.576070,0.111715,0.172810,2.348491,-2.024880,0.083589
0.576084,0.111711,0.172824,2.348545,-2.024882,0.083661
0.576082,0.111699,0.172832,2.348474,-2.024941,0.083713
0.576084,0.111702,0.172843,2.348501,-2.024994,0.083712
0.576077,0.111694,0.172857,2.348522,-2.024987,0.083679
0.576077,0.111699,0.172969,2.348665,-2.025100,0.083857
0.576088,0.111714,0.173174,2.348896,-2.025348,0.084069
0.576071,0.111707,0.173287,2.349027,-2.025423,0.084181
0.576083,0.111720,0.173422,2.349159,-2.025652,0.084369
0.576082,0.111714,0.173557,2.349338,-2.025748,0.084476
0.576062,0.111713,0.173682,2.349493,-2.025845,0.084611
0.576070,0.111704,0.173742,2.349500,-2.025982,0.084766
0.576078,0.111697,0.173770,2.349577,-2.025979,0.084745
0.576078,0.111725,0.173783,2.349621,-2.025970,0.084787
0.576078,0.111702,0.173805,2.349609,-2.026010,0.084821
0.576135,0.111729,0.173870,2.349674,-2.026177,0.084919
0.576292,0.111807,0.174137,2.350186,-2.026570,0.085422
0.576383,0.111837,0.174421,2.350619,-2.027014,0.085843
0.576510,0.111901,0.174815,2.351241,-2.027668,0.086538
0.576625,0.111950,0.175334,2.351926,-2.028280,0.087292
0.576795,0.112033,0.176082,2.352908,-2.029256,0.088269
0.576936,0.112096,0.176988,2.354012,-2.030324,0.089448
0.577180,0.112231,0.178829,2.356301,-2.032458,0.091706
0.577378,0.112312,0.180364,2.358118,-2.034293,0.093700
0.577592,0.112418,0.182054,2.360146,-2.036177,0.095801
0.577802,0.112512,0.183847,2.362284,-2.038270,0.098010
0.578089,0.112653,0.186743,2.365785,-2.041606,0.101697
0.578227,0.112700,0.188762,2.368075,-2.043980,0.104257
0.578281,0.112717,0.190784,2.370372,-2.046150,0.106704
0.578255,0.112741,0.192773,2.372728,-2.048324,0.109105
0.578139,0.112714,0.195864,2.376248,-2.051721,0.112749
0.578034,0.112655,0.197969,-2.373716,2.049806,-0.115109
0.577924,0.112593,0.200142,-2.370917,2.047639,-0.117412
0.577754,0.112548,0.202369,-2.368152,2.045379,-0.119769
0.577628,0.112464,0.204697,-2.365026,2.043100,-0.122289
0.577445,0.112392,0.207034,-2.362116,2.040775,-0.124793
0.577187,0.112256,0.210693,-2.357304,2.037140,-0.128710
0.576970,0.112165,0.213182,-2.354164,2.034610,-0.131357
0.576760,0.112076,0.215703,-2.350909,2.032135,-0.134045
0.576547,0.111979,0.218295,-2.347534,2.029493,-0.136836
0.576179,0.111803,0.222299,-2.342343,2.025490,-0.141116
0.575916,0.111690,0.225045,-2.338768,2.022710,-0.143937
0.575475,0.111485,0.229305,-2.333263,2.018462,-0.148471
0.575170,0.111340,0.232190,-2.329528,2.015513,-0.151498
0.574821,0.111178,0.235142,-2.325678,2.012562,-0.154526
0.574456,0.111037,0.238161,-2.321795,2.009402,-0.157664
0.573865,0.110745,0.242825,-2.315743,2.004786,-0.162477
0.573450,0.110579,0.245991,-2.311591,2.001601,-0.165752
0.572788,0.110238,0.250918,-2.305050,1.996603,-0.170922
0.572294,0.110019,0.254348,-2.300593,1.993065,-0.174497
0.571759,0.109784,0.257910,-2.295903,1.989409,-0.178148
0.571186,0.109527,0.261552,-2.291130,1.985635,-0.181835
0.570252,0.109099,0.267132,-2.283818,1.979970,-0.187423
0.569605,0.108816,0.270895,-2.278881,1.976028,-0.191301
0.568917,0.108466,0.274793,-2.273637,1.972071,-0.195274
0.568174,0.108128,0.278804,-2.268323,1.967942,-0.199319
0.567357,0.107764,0.282919,-2.262878,1.963683,-0.203432
0.566523,0.107382,0.287112,-2.257406,1.959372,-0.207508
0.565632,0.106955,0.291392,-2.251716,1.955000,-0.211849
0.564684,0.106528,0.295813,-2.245800,1.950336,-0.216210
0.563185,0.105807,0.302486,-2.236815,1.943368,-0.222873
0.562117,0.105307,0.307101,-2.230544,1.938562,-0.227431
0.560997,0.104791,0.311694,-2.224349,1.933720,-0.231948
0.559823,0.104239,0.316435,-2.217939,1.928741,-0.236638
0.558586,0.103652,0.321213,-2.211419,1.923720,-0.241256
0.557316,0.103100,0.325994,-2.204934,1.918495,-0.245985
0.555276,0.102117,0.333280,-2.194949,1.910811,-0.252996
0.553092,0.101107,0.340565,-2.185324,1.903280,-0.259816
0.551513,0.100373,0.345308,-2.179638,1.898821,-0.263813
0.549908,0.099611,0.349995,-2.173918,1.894491,-0.267766
0.548193,0.098840,0.354606,-2.168933,1.890503,-0.271211
0.546405,0.098000,0.359062,-2.164634,1.887113,-0.274243
0.543531,0.096586,0.365388,-2.159883,1.883669,-0.277592
0.541482,0.095547,0.369345,-2.158038,1.882549,-0.278851
